symbol,date,open,close,high,low,volume,position,month,day
frfi,2021-08-10,140.0,141.06,141.18,139.47,508860,513669,8,10
frfi,2021-08-11,142.06,141.61,142.68,140.7,658992,522456,8,11
frfi,2021-08-12,141.13,141.51,142.6,141.13,487913,529687,8,12
frfi,2021-08-13,141.41,142.75,142.9,139.82,706569,541413,8,13
frfi,2021-08-16,143.14,140.34,143.14,139.83,637931,526469,8,16
frfi,2021-08-17,140.18,143.5,143.53,138.94,756402,502496,8,17
frfi,2021-08-18,143.42,144.64,144.66,142.52,816549,532487,8,18
frfi,2021-08-19,143.16,145.26,145.31,143.16,782688,554276,8,19
frfi,2021-08-20,145.0,146.3,146.73,143.9,919452,566399,8,20
frfi,2021-08-23,147.45,149.67,151.73,147.18,1086181,588988,8,23
frfi,2021-08-24,150.17,147.16,150.5,147.05,946776,556052,8,24
frfi,2021-08-25,147.82,150.55,150.91,147.79,836625,537528,8,25
frfi,2021-08-26,152.18,154.19,154.26,151.47,800643,549523,8,26
frfi,2021-08-27,153.92,157.6,158.06,153.26,966761,588925,8,27
frfi,2021-08-30,158.92,164.1,164.21,158.89,907704,622545,8,30
frfi,2021-08-31,164.66,163.03,165.43,161.27,1643446,593820,8,31
frfi,2021-09-01,162.28,164.66,164.86,160.5,1478645,635704,9,1
frfi,2021-09-02,164.65,166.36,171.24,164.21,1851054,644704,9,2
frfi,2021-09-03,165.51,159.87,166.6,159.0,1762748,591257,9,3
frfi,2021-09-06,160.74,160.48,163.0,159.56,890374,576363,9,6
frfi,2021-09-07,161.66,162.85,164.26,160.02,1145278,580157,9,7
frfi,2021-09-08,161.76,163.57,164.66,161.18,896665,579047,9,8
frfi,2021-09-09,164.01,170.85,171.06,164.01,1351022,606682,9,9
frfi,2021-09-10,170.66,168.73,171.58,166.41,1158403,588098,9,10
frfi,2021-09-13,170.31,173.09,176.37,169.9,1356853,597512,9,13
frfi,2021-09-14,171.55,174.19,175.94,171.22,1401801,618419,9,14
frfi,2021-09-15,175.76,183.39,183.61,175.76,1595083,660888,9,15
frfi,2021-09-16,185.05,183.38,191.52,179.82,1770746,557134,9,16
frfi,2021-09-17,183.32,184.55,187.7,181.15,1361687,548324,9,17
frfi,2021-09-22,197.98,197.99,198.29,195.79,246876,548406,9,22
frfi,2021-09-23,216.98,219.59,219.59,215.6,683309,506066,9,23
frfi,2021-09-24,235.3,207.81,235.3,194.4,1878383,332655,9,24
frfi,2021-09-27,208.77,220.06,225.69,205.88,1441772,344921,9,27
frfi,2021-09-28,220.21,233.68,233.98,218.91,1206842,365921,9,28
frfi,2021-09-29,233.94,233.33,243.72,222.11,1434213,308502,9,29
frfi,2021-09-30,235.09,248.61,248.66,228.97,850472,298208,9,30
frfi,2021-10-08,249.18,238.72,249.24,235.0,612605,299485,10,8
frfi,2021-10-11,257.22,257.32,259.29,244.87,761225,323331,10,11
frfi,2021-10-12,254.21,250.26,258.56,244.77,720533,310212,10,12
frfi,2021-10-13,250.84,225.25,251.78,225.15,908267,292448,10,13
frfi,2021-10-14,221.06,232.98,234.08,218.35,732599,286686,10,14
frfi,2021-10-15,233.24,229.62,233.25,222.26,780154,292290,10,15
frfi,2021-10-18,229.12,227.37,229.64,216.45,733834,296612,10,18
frfi,2021-10-19,225.44,242.98,247.61,221.37,864126,312511,10,19
frfi,2021-10-20,217.05,214.95,220.95,214.94,490504,287866,10,20
frfi,2021-10-21,227.59,211.07,235.68,203.93,821187,290534,10,21
frfi,2021-10-22,211.23,203.23,216.61,203.21,615865,277647,10,22
frfi,2021-10-25,203.85,188.76,204.44,187.57,790518,291786,10,25
frfi,2021-10-26,188.42,186.2,189.43,175.63,911417,283771,10,26
frfi,2021-10-27,174.19,166.71,176.44,164.8,719187,271728,10,27
frfi,2021-10-28,155.66,173.97,183.51,153.88,1119981,267764,10,28
frfi,2021-10-29,173.29,172.77,176.29,165.76,742324,261769,10,29
frfi,2021-11-01,174.38,168.83,174.71,164.68,487465,261864,11,1
frfi,2021-11-02,167.5,156.79,167.5,153.25,591605,277617,11,2
frfi,2021-11-03,157.84,161.57,165.93,153.05,562136,268936,11,3
frfi,2021-11-04,156.41,154.06,159.6,150.92,471268,271560,11,4
frfi,2021-11-05,154.59,147.85,154.59,147.75,391458,282293,11,5
frfi,2021-11-08,150.46,147.9,152.04,147.02,312993,281637,11,8
frfi,2021-11-09,147.87,148.33,150.28,147.76,264135,273425,11,9
frfi,2021-11-10,144.57,143.3,144.57,139.66,335561,281677,11,10
frfi,2021-11-11,144.22,148.42,151.86,143.95,345111,269718,11,11
frfi,2021-11-12,146.61,144.41,147.92,143.77,238926,263911,11,12
frfi,2021-11-15,143.85,137.46,143.86,137.3,260946,284190,11,15
frfi,2021-11-16,137.82,136.76,141.46,136.6,228580,276706,11,16
frfi,2021-11-17,135.37,135.53,138.08,134.85,187374,282246,11,17
frfi,2021-11-18,134.66,129.96,135.23,129.94,233305,290914,11,18
frfi,2021-11-19,130.67,131.81,133.26,130.03,249207,284814,11,19
frfi,2021-11-22,133.19,133.32,135.88,132.65,217800,278201,11,22
frfi,2021-11-23,134.35,141.8,144.95,134.35,422513,277251,11,23
frfi,2021-11-24,144.03,145.92,146.77,144.0,253501,268604,11,24
frfi,2021-11-25,146.91,146.22,149.53,145.12,224605,268965,11,25
frfi,2021-11-26,141.87,134.65,142.04,133.62,332091,275973,11,26
frfi,2021-11-29,135.11,139.29,141.49,135.11,323139,270318,11,29
frfi,2021-11-30,139.88,137.9,141.07,135.97,296543,267887,11,30
frfi,2021-12-01,137.92,142.62,144.93,137.92,364165,282109,12,1
frfi,2021-12-02,139.8,137.42,141.13,137.22,288016,283053,12,2
frfi,2021-12-03,138.35,138.99,140.86,137.73,278776,291588,12,3
frfi,2021-12-06,139.84,137.22,142.93,135.97,400012,321580,12,6
frfi,2021-12-07,139.97,136.78,140.31,136.76,303228,321825,12,7
frfi,2021-12-08,136.97,133.35,136.97,131.24,393530,338498,12,8
frfi,2021-12-09,134.13,134.33,135.68,133.31,242522,326093,12,9
frfi,2021-12-10,135.61,134.64,137.15,134.18,252082,311244,12,10
frfi,2021-12-13,134.66,135.18,135.72,132.23,287018,312941,12,13
frfi,2021-12-14,134.33,135.26,136.97,134.18,277577,310394,12,14
frfi,2021-12-15,135.22,132.05,135.64,132.01,268170,320129,12,15
frfi,2021-12-16,132.9,131.72,133.16,131.52,221032,323010,12,16
frfi,2021-12-17,132.83,132.65,135.51,132.59,301107,315697,12,17
frfi,2021-12-20,133.95,136.4,138.17,133.06,466372,314152,12,20
frfi,2021-12-21,136.76,137.09,138.72,136.76,356554,310822,12,21
frfi,2021-12-22,137.3,132.93,138.33,132.81,546144,338071,12,22
frfi,2021-12-23,133.42,133.02,134.61,132.2,328478,319069,12,23
frfi,2021-12-24,134.04,136.07,136.23,133.54,354490,303995,12,24
frfi,2021-12-27,135.31,135.36,136.9,134.34,327843,288452,12,27
frfi,2021-12-28,135.89,135.23,136.57,134.09,325911,273189,12,28
frfi,2021-12-29,135.34,138.83,139.39,135.34,488958,320149,12,29
frfi,2021-12-30,138.63,135.73,138.66,135.61,348927,297273,12,30
frfi,2021-12-31,135.94,133.69,136.08,133.21,346818,290363,12,31
frfi,2022-01-04,135.08,132.22,135.12,132.02,287132,317175,1,4
frfi,2022-01-05,132.48,132.42,133.67,132.35,253139,328681,1,5
frfi,2022-01-06,132.56,135.2,136.16,132.42,343677,323939,1,6
frfi,2022-01-07,135.37,137.26,138.7,135.31,352675,330193,1,7
frfi,2022-01-10,137.43,139.3,141.08,137.11,454047,364626,1,10
frfi,2022-01-11,139.19,139.05,139.22,137.25,292889,355914,1,11
frfi,2022-01-12,139.74,140.26,141.15,139.22,327438,376409,1,12
frfi,2022-01-13,141.39,143.3,148.08,141.39,817874,426208,1,13
frfi,2022-01-14,144.44,145.26,146.44,143.89,460887,435306,1,14
frfi,2022-01-17,144.52,138.3,144.52,137.76,536172,436239,1,17
frfi,2022-01-18,138.38,140.83,141.42,137.76,443771,427098,1,18
frfi,2022-01-19,142.58,141.79,145.08,141.42,491802,427896,1,19
frfi,2022-01-20,142.21,142.57,144.0,141.68,380355,432618,1,20
frfi,2022-01-21,143.36,137.88,143.51,137.31,523475,455928,1,21
frfi,2022-01-24,138.01,137.75,141.31,137.71,414047,426787,1,24
frfi,2022-01-25,137.8,135.13,137.8,135.08,346670,421943,1,25
frfi,2022-01-26,135.15,134.99,135.91,133.63,307091,427605,1,26
frfi,2022-01-27,135.46,134.84,136.89,134.78,332824,418420,1,27
frfi,2022-01-28,135.17,140.7,141.0,135.17,443869,396286,1,28
frfi,2022-02-07,140.93,144.73,145.63,140.91,413859,419608,2,7
frfi,2022-02-08,146.42,144.89,147.02,143.78,447615,435995,2,8
frfi,2022-02-09,144.17,141.81,144.17,141.47,324009,437387,2,9
frfi,2022-02-10,142.35,143.84,145.21,142.35,333253,462023,2,10
frfi,2022-02-11,144.88,138.8,145.51,138.77,472048,477559,2,11
frfi,2022-02-14,138.42,138.48,140.77,137.51,370252,488527,2,14
frfi,2022-02-15,137.3,138.02,138.99,137.17,359170,483063,2,15
frfi,2022-02-16,138.35,140.79,141.58,138.35,394926,480022,2,16
frfi,2022-02-17,139.42,140.12,141.44,139.15,375639,476807,2,17
frfi,2022-02-18,140.93,146.73,147.27,140.93,500796,494190,2,18
frfi,2022-02-21,147.07,147.19,148.1,145.15,482374,488817,2,21
frfi,2022-02-22,147.51,144.31,148.6,144.07,439060,485770,2,22
frfi,2022-02-23,144.32,145.57,146.11,143.53,393059,487410,2,23
frfi,2022-02-24,145.38,144.49,146.27,143.3,375577,479453,2,24
frfi,2022-02-25,143.34,137.29,145.54,136.78,654645,481402,2,25
frfi,2022-02-28,139.17,141.76,142.6,138.06,398010,450953,2,28
frfi,2022-03-01,141.93,144.69,145.83,141.93,496445,461198,3,1
frfi,2022-03-02,145.91,144.66,146.99,143.86,423242,458473,3,2
frfi,2022-03-03,144.95,144.98,147.01,144.53,418510,477239,3,3
frfi,2022-03-04,145.02,143.59,145.19,142.02,511474,484585,3,4
frfi,2022-03-07,146.84,150.72,153.45,145.87,804687,516555,3,7
frfi,2022-03-08,149.56,152.73,157.96,149.19,891397,517193,3,8
frfi,2022-03-09,153.72,151.69,155.35,150.73,537021,497620,3,9
frfi,2022-03-10,148.6,153.29,154.13,147.37,418505,521073,3,10
frfi,2022-03-11,152.85,154.28,156.05,152.27,422487,517947,3,11
frfi,2022-03-14,152.81,151.11,154.0,150.62,433872,528859,3,14
frfi,2022-03-15,151.58,146.95,151.79,146.15,470560,498583,3,15
frfi,2022-03-16,149.12,149.59,151.31,147.75,422994,506099,3,16
frfi,2022-03-17,149.23,148.14,150.07,147.29,317059,506594,3,17
frfi,2022-03-18,149.23,147.99,150.22,147.51,309826,511704,3,18
frfi,2022-03-21,148.51,146.57,148.71,146.2,315624,518870,3,21
frfi,2022-03-22,147.49,147.36,148.82,146.02,367130,513752,3,22
frfi,2022-03-23,146.77,146.39,147.14,146.04,280600,510604,3,23
frfi,2022-03-24,148.24,147.1,148.91,146.79,282323,509562,3,24
frfi,2022-03-25,147.29,151.55,152.26,147.07,416756,505563,3,25
frfi,2022-03-28,151.32,153.83,155.17,151.11,383191,512693,3,28
frfi,2022-03-29,154.39,153.68,155.03,151.63,313338,502281,3,29
frfi,2022-03-30,153.76,152.85,153.77,151.77,310996,503860,3,30
frfi,2022-03-31,152.86,154.42,155.92,151.81,421735,518723,3,31
frfi,2022-04-01,153.96,157.15,157.24,152.68,372579,505496,4,1
frfi,2022-04-06,157.26,159.96,161.47,156.16,477576,524966,4,6
frfi,2022-04-07,158.48,157.98,159.91,155.98,478545,531730,4,7
frfi,2022-04-08,157.71,164.08,164.9,157.65,672064,560122,4,8
frfi,2022-04-11,161.92,156.0,163.5,156.0,614522,547947,4,11
frfi,2022-04-12,157.55,157.88,158.35,155.53,491772,551377,4,12
frfi,2022-04-13,158.21,157.18,158.8,155.6,471613,548597,4,13
frfi,2022-04-14,157.34,159.84,161.99,157.08,539558,527894,4,14
frfi,2022-04-15,160.41,166.57,166.96,159.99,922892,585522,4,15
frfi,2022-04-18,166.04,166.24,169.21,163.24,860867,609407,4,18
frfi,2022-04-19,166.56,163.84,167.55,162.5,695118,595408,4,19
frfi,2022-04-20,165.51,165.16,167.31,164.41,503439,576925,4,20
frfi,2022-04-21,165.69,165.38,166.38,163.87,401643,576571,4,21
frfi,2022-04-22,165.07,164.02,165.21,162.26,424004,550293,4,22
frfi,2022-04-25,160.31,153.28,160.31,153.1,697531,524809,4,25
frfi,2022-04-26,153.83,153.64,155.46,153.59,361550,505051,4,26
frfi,2022-04-27,155.02,152.01,156.09,150.99,502809,513851,4,27
frfi,2022-04-28,152.53,152.26,153.32,150.71,388732,482254,4,28
frfi,2022-04-29,152.47,152.66,153.27,150.42,409390,490205,4,29
frfi,2022-05-05,151.88,151.18,152.75,148.91,450075,495928,5,5
frfi,2022-05-06,149.68,144.87,149.68,144.77,557108,550642,5,6
frfi,2022-05-09,144.41,142.76,144.43,141.74,490177,561086,5,9
frfi,2022-05-10,140.58,137.61,140.65,137.04,481916,575300,5,10
frfi,2022-05-11,137.66,138.85,140.56,137.65,353533,579060,5,11
