symbol,date,open,close,high,low,vol,oi,month,day
lcfi,2024-01-03,107186.0,105923.0,108100.0,105344.0,149565.0,262088.0,1,3
lcfi,2024-01-04,106112.0,100097.0,106358.0,100070.0,230260.0,263432.0,1,4
lcfi,2024-01-05,99749.0,98229.0,99749.0,97270.0,210708.0,263577.0,1,5
lcfi,2024-01-08,97675.0,96583.0,99840.0,95807.0,187772.0,269911.0,1,8
lcfi,2024-01-09,96687.0,98307.0,99750.0,94995.0,238896.0,275159.0,1,9
lcfi,2024-01-10,97856.0,97375.0,99026.0,96763.0,122094.0,269889.0,1,10
lcfi,2024-01-11,97797.0,103962.0,104251.0,97797.0,246323.0,269835.0,1,11
lcfi,2024-01-12,103673.0,102237.0,104487.0,101805.0,162505.0,267518.0,1,12
lcfi,2024-01-15,101398.0,101438.0,102691.0,100284.0,118292.0,266413.0,1,15
lcfi,2024-01-16,101491.0,103497.0,103874.0,101491.0,124842.0,271350.0,1,16
lcfi,2024-01-17,104023.0,101352.0,105327.0,100574.0,150083.0,267949.0,1,17
lcfi,2024-01-18,101928.0,101852.0,102864.0,99943.0,142542.0,265155.0,1,18
lcfi,2024-01-19,102080.0,100995.0,102586.0,100843.0,98178.0,264567.0,1,19
lcfi,2024-01-22,100549.0,99453.0,101399.0,98290.0,130055.0,258211.0,1,22
lcfi,2024-01-23,100142.0,101645.0,102224.0,100000.0,110929.0,254276.0,1,23
lcfi,2024-01-24,101877.0,101962.0,102643.0,101210.0,84764.0,256351.0,1,24
lcfi,2024-01-25,102448.0,101014.0,102915.0,100202.0,102530.0,257143.0,1,25
lcfi,2024-01-26,101165.0,100361.0,102122.0,100317.0,92426.0,255720.0,1,26
lcfi,2024-01-29,100860.0,101632.0,102343.0,99609.0,87604.0,251200.0,1,29
lcfi,2024-01-30,102052.0,100778.0,102119.0,100700.0,64661.0,245616.0,1,30
lcfi,2024-01-31,100892.0,99057.0,101578.0,98641.0,121791.0,252537.0,1,31
lcfi,2024-02-01,98970.0,99439.0,99768.0,98060.0,71860.0,243025.0,2,1
lcfi,2024-02-02,99376.0,99877.0,101234.0,99194.0,84998.0,232551.0,2,2
lcfi,2024-02-05,100065.0,100283.0,100984.0,99409.0,55372.0,227930.0,2,5
lcfi,2024-02-06,100319.0,97196.0,100403.0,96391.0,137716.0,235841.0,2,6
lcfi,2024-02-07,97432.0,97553.0,98229.0,97132.0,52366.0,229732.0,2,7
lcfi,2024-02-08,97606.0,96270.0,98536.0,95775.0,67737.0,229545.0,2,8
lcfi,2024-02-19,96839.0,94774.0,97741.0,94574.0,77626.0,240334.0,2,19
lcfi,2024-02-20,95252.0,92871.0,95429.0,92522.0,119167.0,265448.0,2,20
lcfi,2024-02-21,92926.0,96882.0,102931.0,92922.0,358141.0,257584.0,2,21
lcfi,2024-02-22,97080.0,97591.0,98320.0,96586.0,129183.0,257467.0,2,22
